Name Of Zone / Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Average
NECC SUGGESTED EGG PRICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmedabad,355,340,340,340,340,340,340,340,340,340,340,340,340,345,350,352,354,356,360,360,365,370,372,374,374,377,377,381,353.64
Ajmer,310,300,295,295,295,295,295,290,280,282,283,286,297,312,312,312,312,323,325,332,344,344,344,344,344,355,355,355,314.86
Asansole,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barwala,318,313,310,305,305,305,305,305,295,290,290,292,298,317,317,317,317,327,327,335,347,350,350,350,350,357,360,360,321.86
Bengaluru (CC),350,335,335,335,325,325,325,325,325,325,335,335,340,345,345,345,350,350,355,360,365,365,368,373,373,377,380,383,348.18
Brahmapur (OD),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burdwan (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chennai (CC),355,355,355,355,340,340,340,340,340,340,340,340,340,345,345,345,355,355,360,360,372,372,377,382,382,387,387,392,357
Chittoor,348,348,348,348,333,333,333,333,333,333,333,333,333,338,338,338,348,348,353,353,365,365,370,375,375,380,380,385,350
Delhi (CC),335,330,330,320,320,320,320,320,310,310,310,310,310,320,325,325,325,335,340,343,355,360,360,360,360,360,368,368,333.89
E.Godavari,320,320,320,310,310,310,310,310,310,310,310,310,310,310,315,317,320,322,327,327,332,339,343,345,347,349,349,350,323.29
Hospet,315,300,300,300,290,290,290,290,290,290,290,290,305,310,310,310,315,315,320,325,330,330,333,338,338,342,345,348,312.46
Hyderabad,303,303,295,290,290,290,290,290,290,290,290,290,295,302,305,307,309,315,318,323,330,333,336,339,342,345,348,351,311.04
Jabalpur,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolkata (WB),348,348,345,342,342,342,340,336,336,336,336,336,341,350,350,352,355,355,360,365,368,372,378,384,388,390,395,397,356.68
Ludhiana,311,311,311,301,301,301,301,301,297,291,287,287,291,303,303,303,303,316,327,327,334,344,344,344,344,346,348,353,315.36
Midnapur (KOL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mumbai (CC),365,355,355,345,340,340,340,340,340,340,340,340,340,345,352,355,357,360,365,365,373,380,383,386,389,392,392,398,359.71
Mysuru,351,341,341,330,336,330,330,330,330,330,338,338,343,343,345,355,355,360,360,370,370,370,378,378,383,383,388,388,353.36
Namakkal,344,344,344,325,325,320,320,320,320,320,325,325,330,330,330,340,340,345,345,355,355,355,365,365,370,370,375,375,342.04
Pune,363,355,355,345,340,340,340,340,340,340,340,340,340,345,352,355,357,360,365,365,375,380,385,385,390,390,390,395,359.54
Raipur,330,330,330,323,323,323,323,318,315,315,315,315,320,325,325,331,331,331,337,345,345,362,365,365,365,370,372,372,336.46
Surat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vijayawada,320,320,320,310,310,310,310,310,310,310,310,310,310,310,315,317,320,322,327,327,332,339,343,345,347,349,349,350,323.29
Vizag,335,335,335,320,320,320,320,316,316,316,316,316,316,318,320,322,325,327,335,335,340,345,350,352,354,356,356,363,331.39
W.Godavari,320,320,320,310,310,310,310,310,310,310,310,310,310,310,315,317,320,322,327,327,332,339,343,345,347,349,349,350,323.29
Warangal,322,305,305,297,292,292,292,292,292,292,292,292,292,297,304,307,309,311,317,320,325,332,335,338,341,346,349,352,312.14
Prevailing Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allahabad (CC),338,333,333,333,333,328,328,328,328,328,324,324,328,343,352,352,343,352,357,357,362,367,367,367,367,371,371,376,346.07
Bhopal,325,325,325,325,315,315,315,310,310,310,310,310,310,315,315,330,330,330,335,340,345,355,355,355,355,360,365,370,330.71
Indore (CC),325,322,315,315,300,300,305,305,305,300,300,300,300,305,320,325,330,325,330,335,340,350,350,350,350,355,355,355,323.82
Jabalpur,330,330,330,322,320,320,316,312,309,309,307,310,317,325,325,333,334,340,343,345,351,358,358,358,367,369,372,374,335.14
Kanpur (CC),343,343,333,324,324,324,324,324,319,319,319,319,319,333,333,333,333,343,343,352,367,367,367,367,367,376,376,381,341.86
Luknow (CC),370,370,370,360,360,360,350,350,350,350,350,350,350,350,350,353,353,367,373,380,390,390,390,390,390,400,400,400,368.43
Muzaffurpur (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nagpur,320,315,315,310,300,300,300,300,300,298,303,305,307,315,318,320,323,325,328,335,340,350,355,358,355,350,358,365,323.86
Patna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ranchi (CC),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Varanasi (CC),367,367,367,357,350,350,350,350,350,343,343,343,347,357,363,367,367,373,377,377,387,393,393,393,393,397,400,400,368.61